line,offset,latA,latB,label
0,0x0,273.0,302.4,0
1,0x80,273.2,302.3,0
2,0x100,272.9,306.4,0
3,0x180,273.1,306.3,0
4,0x200,272.8,301.6,0
5,0x280,272.8,302.3,0
6,0x300,272.7,306.1,0
7,0x380,271.9,306.9,0
8,0x400,296.9,274.6,1
9,0x480,297.0,274.5,1
10,0x500,298.0,275.3,1
11,0x580,298.1,275.3,1
12,0x600,297.6,274.7,1
13,0x680,296.8,274.5,1
14,0x700,298.8,275.3,1
15,0x780,298.2,275.3,1
16,0x800,271.5,310.2,0
17,0x880,271.7,310.3,0
18,0x900,298.7,274.2,1
19,0x980,298.5,274.4,1
20,0xa00,271.6,310.1,0
21,0xa80,271.7,310.7,0
22,0xb00,298.8,274.5,1
23,0xb80,298.8,274.9,1
24,0xc00,298.1,273.8,1
25,0xc80,298.3,274.2,1
26,0xd00,273.5,299.7,0
27,0xd80,273.5,299.5,0
28,0xe00,298.4,274.6,1
29,0xe80,298.9,274.5,1
30,0xf00,273.6,300.2,0
31,0xf80,273.8,300.4,0
32,0x1000,272.1,309.0,0
33,0x1080,271.9,309.3,0
34,0x1100,275.3,301.2,0
35,0x1180,275.5,301.5,0
36,0x1200,272.1,309.4,0
37,0x1280,272.2,309.4,0
38,0x1300,275.4,301.7,0
39,0x1380,275.4,301.8,0
40,0x1400,299.5,272.8,1
41,0x1480,299.8,273.1,1
42,0x1500,300.2,273.3,1
43,0x1580,300.4,273.0,1
44,0x1600,299.9,273.1,1
45,0x1680,300.1,273.0,1
46,0x1700,300.6,273.4,1
47,0x1780,300.7,273.5,1
48,0x1800,300.1,273.5,1
49,0x1880,300.2,273.4,1
50,0x1900,272.6,307.1,0
51,0x1980,272.7,307.3,0
52,0x1a00,300.0,273.6,1
53,0x1a80,300.1,273.6,1
54,0x1b00,273.1,307.3,0
55,0x1b80,273.0,307.6,0
56,0x1c00,276.0,301.1,0
57,0x1c80,276.1,301.2,0
58,0x1d00,301.4,275.2,1
59,0x1d80,301.6,275.1,1
60,0x1e00,276.1,301.3,0
61,0x1e80,276.3,301.4,0
62,0x1f00,301.6,275.3,1
63,0x1f80,301.8,275.3,1
64,0x2000,302.1,275.6,1
65,0x2080,302.5,275.5,1
66,0x2100,302.6,275.3,1
67,0x2180,302.7,275.5,1
68,0x2200,302.8,275.5,1
69,0x2280,302.6,275.5,1
70,0x2300,302.8,275.4,1
71,0x2380,303.0,275.3,1
