offset,latA,latB,label
0x0,273.0,302.2,0
0x80,272.3,301.3,0
0x100,271.9,305.6,0
0x180,271.9,306.2,0
0x200,272.2,300.4,0
0x280,272.4,301.8,0
0x300,272.4,305.5,0
0x380,272.0,305.9,0
0x400,296.5,273.8,1
0x480,296.2,274.4,1
0x500,298.2,274.7,1
0x580,297.4,275.0,1
0x600,296.7,274.2,1
0x680,296.4,274.1,1
0x700,298.2,274.6,1
0x780,298.0,275.1,1
0x800,271.7,309.7,0
0x880,271.2,309.1,0
0x900,298.0,274.3,1
0x980,297.9,274.2,1
0xa00,271.6,309.8,0
0xa80,271.7,309.7,0
0xb00,297.9,274.0,1
0xb80,298.1,274.1,1
0xc00,297.7,273.4,1
0xc80,298.0,273.7,1
0xd00,272.9,299.0,0
0xd80,273.1,299.1,0
0xe00,298.0,274.0,1
0xe80,298.3,273.8,1
0xf00,273.6,299.8,0
0xf80,273.8,299.7,0
0x1000,271.9,308.4,0
0x1080,271.6,308.5,0
0x1100,275.0,301.1,0
0x1180,275.1,301.1,0
0x1200,271.9,308.7,0
0x1280,271.9,308.9,0
0x1300,274.8,301.3,0
0x1380,274.9,301.5,0
0x1400,299.1,272.5,1
0x1480,299.3,272.6,1
0x1500,299.9,273.0,1
0x1580,300.1,273.0,1
0x1600,299.4,272.6,1
0x1680,299.6,272.7,1
0x1700,300.3,273.0,1
0x1780,300.3,272.9,1
0x1800,299.4,273.1,1
0x1880,299.6,273.0,1
0x1900,272.6,306.8,0
0x1980,272.5,306.9,0
0x1a00,299.6,273.4,1
0x1a80,299.8,273.3,1
0x1b00,272.6,307.1,0
0x1b80,272.6,307.3,0
0x1c00,275.7,300.4,0
0x1c80,275.8,301.0,0
0x1d00,301.1,274.9,1
0x1d80,301.1,274.9,1
0x1e00,276.1,300.8,0
0x1e80,276.1,300.8,0
0x1f00,301.4,275.4,1
0x1f80,301.3,274.9,1
0x2000,302.0,275.2,1
0x2080,301.9,274.8,1
0x2100,302.2,274.6,1
0x2180,302.3,274.8,1
0x2200,302.2,275.2,1
0x2280,302.2,275.0,1
0x2300,302.3,274.9,1
0x2380,302.6,275.0,1
0x2400,277.3,304.8,0
0x2480,277.2,304.7,0
0x2500,274.1,307.8,0
0x2580,274.1,307.6,0
0x2600,277.5,304.8,0
0x2680,277.4,304.8,0
0x2700,274.2,308.0,0
0x2780,274.2,308.0,0
0x2800,302.8,275.5,1
0x2880,303.0,275.3,1
0x2900,277.6,301.8,0
0x2980,277.5,301.7,0
0x2a00,303.0,275.7,1
0x2a80,303.1,275.5,1
0x2b00,277.8,301.8,0
0x2b80,277.6,301.5,0
0x2c00,273.9,312.5,0
0x2c80,274.0,312.3,0
0x2d00,302.4,275.0,1
0x2d80,302.3,275.2,1
0x2e00,274.2,312.5,0
0x2e80,274.2,312.2,0
0x2f00,302.6,275.2,1
0x2f80,302.4,274.9,1
0x3000,302.7,278.2,1
0x3080,302.9,278.1,1
0x3100,302.2,277.5,1
0x3180,302.3,277.3,1
0x3200,303.0,278.0,1
0x3280,302.7,277.9,1
0x3300,302.3,277.5,1
0x3380,302.1,277.5,1
0x3400,274.5,315.2,0
0x3480,274.4,315.0,0
0x3500,277.2,307.4,0
0x3580,277.1,307.3,0
0x3600,274.6,315.0,0
0x3680,274.5,314.9,0
0x3700,277.3,307.3,0
0x3780,277.1,307.1,0
0x3800,277.5,303.7,0
0x3880,277.3,303.8,0
0x3900,302.8,277.7,1
0x3980,302.8,277.7,1
0x3a00,277.7,304.3,0
0x3a80,277.6,303.8,0
0x3b00,303.0,277.8,1
0x3b80,303.1,277.3,1
0x3c00,303.0,277.9,1
0x3c80,302.7,277.8,1
0x3d00,275.8,310.8,0
0x3d80,275.5,310.7,0
0x3e00,303.0,277.9,1
0x3e80,302.9,277.5,1
0x3f00,275.8,310.5,0
0x3f80,275.7,310.4,0
0x4000,278.5,314.5,0
0x4080,278.6,314.3,0
0x4100,301.3,276.3,1
0x4180,301.2,276.3,1
0x4200,278.7,314.6,0
0x4280,278.5,314.6,0
0x4300,301.1,276.6,1
0x4380,301.0,276.0,1
0x4400,302.3,277.7,1
0x4480,302.4,277.6,1
0x4500,277.2,304.0,0
0x4580,276.9,303.8,0
0x4600,302.7,277.7,1
0x4680,302.6,277.8,1
0x4700,277.1,304.0,0
0x4780,277.1,304.0,0
0x4800,277.0,306.1,0
0x4880,277.0,306.0,0
0x4900,278.7,317.1,0
0x4980,278.7,316.9,0
